,City,Country,Latitude,Longtitude,Time of Searching,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
97,Ponta do Sol,BR,-20.63,-46.0,2018-08-25 19:20:23.802694,63.74,92,36,0.38
98,Magadi,IN,12.96,77.22,2018-08-25 19:20:23.802694,68.0,88,20,9.17
99,Bathsheba,BB,13.22,-59.52,2018-08-25 19:20:23.802694,80.6,74,20,17.22
100,Kisangani,CD,0.52,25.21,2018-08-25 19:20:23.802694,71.12,98,8,2.51
101,Cabo San Lucas,MX,22.89,-109.91,2018-08-25 19:20:23.802694,89.6,59,20,8.05
102,Meghraj,IN,23.5,73.5,2018-08-25 19:20:23.802694,75.17,96,92,7.76
103,Aklavik,CA,68.22,-135.01,2018-08-25 19:20:23.802694,54.61,81,75,9.17
104,Bethel,US,60.79,-161.76,2018-08-25 19:20:23.802694,55.04,89,90,6.93
105,East London,ZA,-33.02,27.91,2018-08-25 19:20:23.802694,68.87,94,44,13.02
106,Montrose,AU,-37.81,145.34,2018-08-25 19:20:23.802694,48.2,93,75,3.36
107,Komsomolskiy,RU,67.55,63.78,2018-08-25 19:20:23.802694,37.73,84,0,2.06
108,Huron,US,44.36,-98.21,2018-08-25 19:20:23.802694,85.17,54,1,12.75
109,Los Llanos de Aridane,ES,28.66,-17.92,2018-08-25 19:20:23.802694,73.4,83,48,12.75
110,Ayan,TR,40.67,33.6,2018-08-25 19:20:23.802694,63.83,61,12,1.39
111,Tommot,RU,58.97,126.27,2018-08-25 19:20:23.802694,52.22,100,92,3.96
112,Puerto Escondido,MX,15.86,-97.07,2018-08-25 19:20:23.802694,87.8,66,90,9.17
113,Vestmanna,FO,62.16,-7.17,2018-08-25 19:20:23.802694,46.4,81,92,1.12
114,Ilulissat,GL,69.22,-51.1,2018-08-25 19:20:23.802694,41.0,86,75,3.36
115,Yellowknife,CA,62.45,-114.38,2018-08-25 19:20:23.802694,51.8,71,75,10.29
116,Comodoro Rivadavia,AR,-45.87,-67.48,2018-08-25 19:20:23.802694,64.4,42,20,21.92
117,Kavieng,PG,-2.57,150.8,2018-08-25 19:20:23.802694,83.0,100,24,1.16
118,Mayya,RU,61.74,130.28,2018-08-25 19:20:23.802694,59.0,82,75,4.47
119,Waingapu,ID,-9.65,120.26,2018-08-25 19:20:23.802694,72.83,82,0,4.41
120,Bollnas,SE,61.35,16.39,2018-08-25 19:20:23.802694,48.89,84,0,4.52
121,Provideniya,RU,64.42,-173.23,2018-08-25 19:20:23.802694,47.81,95,56,12.01
122,Sola,NO,58.89,5.65,2018-08-25 19:20:23.802694,51.8,81,0,12.75
123,Barceloneta,PR,18.45,-66.54,2018-08-25 19:20:23.802694,81.41,78,75,14.99
124,Kapaa,US,22.08,-159.32,2018-08-25 19:20:23.802694,81.63,100,90,14.99
125,Lorengau,PG,-2.02,147.27,2018-08-25 19:20:23.802694,82.64,100,12,2.62
126,Hasaki,JP,35.73,140.83,2018-08-25 19:20:23.802694,86.0,74,75,3.36
127,Labuhan,ID,-2.54,115.51,2018-08-25 19:20:23.802694,75.35,92,24,2.62
128,Praia da Vitoria,PT,38.73,-27.07,2018-08-25 19:20:23.802694,71.6,88,20,10.22
129,Albany,US,42.65,-73.75,2018-08-25 19:20:23.802694,74.19,50,75,10.29
130,Lufilufi,WS,-13.87,-171.6,2018-08-25 19:20:23.802694,86.0,70,75,10.29
131,Dikson,RU,73.51,80.55,2018-08-25 19:20:23.802694,45.83,100,92,14.03
132,Barrow,AR,-38.31,-60.23,2018-08-25 19:20:23.802694,37.46,47,0,3.06
133,Isangel,VU,-19.55,169.27,2018-08-25 19:20:23.802694,73.19,100,20,16.6
134,Truro,GB,50.26,-5.05,2018-08-25 19:20:23.802694,51.8,81,80,6.93
135,Carballo,ES,43.21,-8.69,2018-08-25 19:20:23.802694,58.95,87,0,2.24
136,Tomatlan,MX,19.93,-105.25,2018-08-25 19:20:23.802694,76.79,95,80,2.62
137,Sobolevo,RU,54.43,31.9,2018-08-25 19:20:23.802694,55.19,72,0,4.18
138,Beloha,MG,-25.17,45.06,2018-08-25 19:20:23.802694,59.78,87,0,5.19
139,College,US,64.86,-147.8,2018-08-25 19:20:23.802694,58.39,70,90,4.7
140,Hofn,IS,64.25,-15.21,2018-08-25 19:20:23.802694,44.39,100,48,9.66
141,Quatre Cocos,MU,-20.21,57.76,2018-08-25 19:20:23.802694,73.4,69,40,11.41
142,Iqaluit,CA,63.75,-68.52,2018-08-25 19:20:23.802694,42.8,87,40,2.24
143,Boende,CD,-0.28,20.88,2018-08-25 19:20:23.802694,70.85,98,24,0.94
144,Tarakan,ID,3.3,117.63,2018-08-25 19:20:23.802694,80.39,100,64,3.18
145,Bubaque,GW,11.28,-15.83,2018-08-25 19:20:23.802694,80.6,88,20,3.36
146,Kudahuvadhoo,MV,2.67,72.89,2018-08-25 19:20:23.802694,82.1,100,12,7.99
147,Katsuura,JP,33.93,134.5,2018-08-25 19:20:23.802694,82.4,69,20,2.24
148,Saint-Philippe,CA,45.36,-73.48,2018-08-25 19:20:23.802694,77.07,48,1,8.05
149,Firovo,RU,57.48,33.7,2018-08-25 19:20:23.802694,60.5,64,8,11.45
150,Thinadhoo,MV,0.53,72.93,2018-08-25 19:20:23.802694,82.19,100,8,8.21
151,Torbay,CA,47.66,-52.73,2018-08-25 19:20:23.802694,68.0,64,5,19.46
152,Manggar,ID,-2.88,108.27,2018-08-25 19:20:23.802694,81.65,82,36,8.55
153,Kichera,RU,55.93,110.1,2018-08-25 19:20:23.802694,51.14,100,8,3.51
154,Rocha,UY,-34.48,-54.34,2018-08-25 19:20:23.802694,42.68,80,24,13.02
155,Inuvik,CA,68.36,-133.71,2018-08-25 19:20:23.802694,52.7,54,75,6.93
156,Talnakh,RU,69.49,88.39,2018-08-25 19:20:23.802694,51.5,91,56,3.4
157,Chuy,UY,-33.69,-53.46,2018-08-25 19:20:23.802694,45.2,81,0,20.29
158,Lata,IN,30.78,78.62,2018-08-25 19:20:23.802694,56.63,100,100,1.95
159,Oktyabrskoye,RU,56.73,85.44,2018-08-25 19:20:23.802694,56.72,88,32,5.97
